room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
10197251,52380779,Entire home/apt,,24,2,0.0,6,3.0,155.0,,56.163568,10.213466,2017-03-30 22:19:35.327477
1247774,6799502,Entire home/apt,,24,5,4.5,6,3.0,179.0,,56.160441,10.20494,2017-03-30 22:19:35.323548
8304624,3625006,Entire home/apt,,24,3,5.0,5,1.0,149.0,,56.157137,10.184863,2017-03-30 22:19:35.321297
8648776,45459030,Entire home/apt,,24,0,0.0,4,1.0,149.0,,56.161984,10.203749,2017-03-30 22:19:35.316886
12706298,4961330,Entire home/apt,,4,0,0.0,4,2.0,149.0,,56.173258,10.193258,2017-03-30 22:19:35.313368
5425800,5198848,Entire home/apt,,1,2,0.0,6,4.0,149.0,,56.118689,10.196226,2017-03-30 22:19:35.307427
1229946,6709280,Entire home/apt,,24,0,0.0,2,1.0,157.0,,56.155732,10.198976,2017-03-30 22:19:35.305273
3956898,20508599,Entire home/apt,,5,12,5.0,6,4.0,164.0,,56.197103,10.237728,2017-03-30 22:19:35.302124
16151644,105414460,Entire home/apt,,24,8,4.5,6,4.0,148.0,,56.162594,10.206395,2017-03-30 22:19:35.299282
3431676,14601334,Entire home/apt,,24,24,5.0,6,2.0,172.0,,56.144051,10.193766,2017-03-30 22:19:35.290566
13618312,66849704,Entire home/apt,,24,14,4.5,6,2.0,164.0,,56.153026,10.209213,2017-03-30 22:19:35.288255
4590509,6489209,Entire home/apt,,11,14,5.0,6,3.0,147.0,,56.17747,10.122418,2017-03-30 22:19:35.285192
14503442,73689801,Entire home/apt,,24,0,0.0,6,3.0,164.0,,56.163344,10.206083,2017-03-30 22:19:35.282866
12169770,65338262,Entire home/apt,,24,24,5.0,5,3.0,179.0,,56.15786,10.201711,2017-03-30 22:19:35.277589
6700480,34344471,Entire home/apt,,6,0,0.0,5,2.0,149.0,,56.156397,10.181552,2017-03-30 22:19:35.275314
11941690,63755199,Entire home/apt,,24,0,0.0,2,1.0,179.0,,56.154169,10.208587,2017-03-30 22:19:35.271959
7129308,37340944,Entire home/apt,,13,0,0.0,5,4.0,149.0,,56.236303,10.192355,2017-03-30 22:19:35.267303
16066421,71995803,Entire home/apt,,24,2,0.0,4,2.0,164.0,,56.166035,10.229424,2017-03-30 22:19:33.549574
12076785,53462932,Entire home/apt,,1,0,0.0,6,2.0,149.0,,56.129362,10.212625,2017-03-30 22:19:33.546292
3543658,3102759,Entire home/apt,,24,26,4.5,4,1.0,146.0,,56.159621,10.206948,2017-03-30 22:19:33.542864
13824756,21970219,Entire home/apt,,2,2,0.0,7,4.0,149.0,,56.137989,10.180499,2017-03-30 22:19:33.540160
6810720,22377173,Entire home/apt,,1,2,0.0,6,4.0,164.0,,56.121292,10.194918,2017-03-30 22:19:33.535789
8298601,43755699,Entire home/apt,,24,12,5.0,2,1.0,149.0,,56.151465,10.207094,2017-03-30 22:19:33.529038
14535137,1214751,Entire home/apt,,2,0,0.0,4,2.0,179.0,,56.138317,10.179369,2017-03-30 22:19:33.526062
13159135,73480012,Entire home/apt,,5,0,0.0,7,4.0,149.0,,56.190285,10.22048,2017-03-30 22:19:33.523172
16357362,11532267,Entire home/apt,,6,0,0.0,7,4.0,149.0,,56.159716,10.160907,2017-03-30 22:19:33.520237
13011076,64649230,Entire home/apt,,3,7,5.0,8,5.0,179.0,,56.162072,10.160429,2017-03-30 22:19:33.514668
1182296,6467739,Entire home/apt,,24,30,5.0,6,3.0,159.0,,56.16583,10.193496,2017-03-30 22:19:33.511011
17491144,118505805,Entire home/apt,,2,0,0.0,8,4.0,149.0,,56.128407,10.14174,2017-03-30 22:19:33.508444
17769723,18259740,Entire home/apt,,24,0,0.0,4,1.0,153.0,,56.152253,10.186694,2017-03-30 22:19:33.505743
9276319,48175152,Entire home/apt,,24,0,0.0,4,2.0,149.0,,56.152557,10.198909,2017-03-30 22:19:33.503000
16088006,97423937,Entire home/apt,,3,0,0.0,6,3.0,149.0,,56.171379,10.171523,2017-03-30 22:19:33.497222
6796806,35577512,Entire home/apt,,24,1,0.0,4,2.0,149.0,,56.173932,10.219157,2017-03-30 22:19:33.493536
13916975,61483324,Entire home/apt,,24,0,0.0,7,2.0,149.0,,56.16146,10.186695,2017-03-30 22:19:32.227670
466827,2318314,Entire home/apt,,3,24,5.0,5,3.0,145.0,,56.176233,10.175396,2017-03-30 22:19:32.224722
1165756,6384828,Entire home/apt,,24,4,5.0,3,2.0,149.0,,56.139545,10.207896,2017-03-30 22:19:32.221771
